firstname;lastname;username;password;OU;mail;number;securitygroup
Buga;Cosci;bcosci;q#86L69E;Uprava;bcosci@vladimir.putin;0912567759;Zaposlenici
Zorja;Kovacevic;zkovacevic;i$18Q28G;Uprava;zkovacevic@vladimir.putin;0913051776;DistroGrupa
Vesna;Jukic;vjukic;u!70B21U;Financije;vjukic@vladimir.putin;0915105877;Vanjski
George;Knezevic;gknezevic;"f""98A76V";Financije;gknezevic@vladimir.putin;0917489331;Zaposlenici
Doroteja;Nikolic;dnikolic;l#57A79U;Financije;dnikolic@vladimir.putin;0919675081;DistroGrupa
Margarita;Loncar;mloncar;i%40U77P;Marketing;mloncar@vladimir.putin;0915496828;Vanjski
Miroslav;Loncar;mloncar;c%98H75Y;Financije;mloncar@vladimir.putin;0912026599;Administrator
Vladislav;Simunovic;vsimunovic;m%67C39W;Vanjski korisnici;vsimunovic@vladimir.putin;0911654295;Vanjski
Vladislav;Bozic;vbozic;q%23F84G;Marketing;vbozic@vladimir.putin;0912716101;Zaposlenici
Katarina;Loncar;kloncar;"m""91I40Q";Vanjski korisnici;kloncar@vladimir.putin;0916733372;Administrator
Toni;Kovacevic;tkovacevic;m%17R40Z;Financije;tkovacevic@vladimir.putin;0918949850;DistroGrupa
Bojan;Bosnjak;bbosnjak;"q""73N61R";Marketing;bbosnjak@vladimir.putin;0915104951;Zaposlenici
Hrvojka;Simunovic;hsimunovic;i#59N26Y;Uprava;hsimunovic@vladimir.putin;0916876392;Administrator
Miroslav;Kovacevic;mkovacevic;b!61B71S;Vanjski korisnici;mkovacevic@vladimir.putin;0912767462;Administrator
Vuk;Simunovic;vsimunovic;t$16J55V;Financije;vsimunovic@vladimir.putin;0911336393;DistroGrupa
Zorja;Tomic;ztomic;d$42R60O;Uprava;ztomic@vladimir.putin;0916723303;Vanjski
Doroteja;Horvat;dhorvat;m!62B84H;Vanjski korisnici;dhorvat@vladimir.putin;0913559654;DistroGrupa
Hrvoje;Knezevic;hknezevic;z!62N44L;Uprava;hknezevic@vladimir.putin;0915796561;DistroGrupa
Pero;Simunovic;psimunovic;l#99V74L;Marketing;psimunovic@vladimir.putin;0913731994;Vanjski
Danica;Filipovic;dfilipovic;m$57I67I;Marketing;dfilipovic@vladimir.putin;0918563540;Vanjski
Bojana;Bozic;bbozic;i&48R52G;Marketing;bbozic@vladimir.putin;0915568619;Zaposlenici
Vladislava;Kovacevic;vkovacevic;c#98Y22H;Uprava;vkovacevic@vladimir.putin;0914510017;Zaposlenici
Zvonimir;Horvat;zhorvat;k%73I11U;Marketing;zhorvat@vladimir.putin;0910531396;Vanjski
Bojan;Filipovic;bfilipovic;c#29X16N;Uprava;bfilipovic@vladimir.putin;0912166364;Administrator
Kresimir;Jukic;kjukic;q!25A57U;Vanjski korisnici;kjukic@vladimir.putin;0915537444;Zaposlenici
Zorja;Loncar;zloncar;v#25H74V;Financije;zloncar@vladimir.putin;0911686055;Administrator
Pero;Simunovic;psimunovic;j%86O20G;Marketing;psimunovic@vladimir.putin;0911841972;DistroGrupa
Bojan;Knezevic;bknezevic;u%85V25M;Vanjski korisnici;bknezevic@vladimir.putin;0910930255;DistroGrupa
Milan;Filipovic;mfilipovic;q$19J17W;Financije;mfilipovic@vladimir.putin;0917435715;Zaposlenici
Vladislava;Loncar;vloncar;b&30A19A;Marketing;vloncar@vladimir.putin;0916666658;Administrator
Danica;Bozic;dbozic;"m""61A73G";Uprava;dbozic@vladimir.putin;0911402952;DistroGrupa
Kresimir;Posavec;kposavec;v$50S27R;Uprava;kposavec@vladimir.putin;0916451487;Administrator
Ann;Tomic;atomic;"f""42A48W";Uprava;atomic@vladimir.putin;0915479477;DistroGrupa
Zora;Simunovic;zsimunovic;l&87P29N;Marketing;zsimunovic@vladimir.putin;0918255126;DistroGrupa
Sam;Mamic;smamic;y%13A39I;Financije;smamic@vladimir.putin;0916373392;Vanjski
Matt;Filipovic;mfilipovic;x!92N22K;Uprava;mfilipovic@vladimir.putin;0910952787;Zaposlenici
Morana;Bosnjak;mbosnjak;i!27L16H;Financije;mbosnjak@vladimir.putin;0917178482;Vanjski
Vuk;Jukic;vjukic;l%56J63R;Uprava;vjukic@vladimir.putin;0911723866;DistroGrupa
Sam;Jukic;sjukic;h&49A69Z;Financije;sjukic@vladimir.putin;0915389593;Zaposlenici
Vladislava;Cosci;vcosci;m&27O55T;Marketing;vcosci@vladimir.putin;0912517145;Vanjski
George;Bosnjak;gbosnjak;v!68U75J;Uprava;gbosnjak@vladimir.putin;0918546462;Vanjski
Vuk;Bosnjak;vbosnjak;"f""11X72J";Uprava;vbosnjak@vladimir.putin;0917711734;Vanjski
Matt;Posavec;mposavec;g%99F81C;Uprava;mposavec@vladimir.putin;0912409154;Zaposlenici
Hrvojka;Knezevic;hknezevic;"a""44Z85X";Vanjski korisnici;hknezevic@vladimir.putin;0915802000;DistroGrupa
Buga;Filipovic;bfilipovic;q&96O49X;Uprava;bfilipovic@vladimir.putin;0914148152;Zaposlenici
Dzuro;Loncar;dloncar;c!19R56N;Vanjski korisnici;dloncar@vladimir.putin;0917874854;Administrator
Katarina;Horvat;khorvat;l&43B58E;Marketing;khorvat@vladimir.putin;0913037223;Administrator
Zora;Loncar;zloncar;"q""42P86J";Uprava;zloncar@vladimir.putin;0912532280;DistroGrupa
Zorja;Posavec;zposavec;y!11Q57N;Marketing;zposavec@vladimir.putin;0915659550;Administrator
Kresimir;Horvat;khorvat;q!73W81D;Marketing;khorvat@vladimir.putin;0915406521;DistroGrupa
Bojan;Nikolic;bnikolic;x#56X25N;Marketing;bnikolic@vladimir.putin;0913641562;Administrator
Morana;Bozic;mbozic;t!40V38V;Vanjski korisnici;mbozic@vladimir.putin;0917251896;Administrator
Vladislav;Jukic;vjukic;"h""39E62W";Uprava;vjukic@vladimir.putin;0911133340;Vanjski
Pero;Jukic;pjukic;b$39H61E;Vanjski korisnici;pjukic@vladimir.putin;0917709514;Vanjski
Milan;Horvat;mhorvat;e%58L13V;Vanjski korisnici;mhorvat@vladimir.putin;0910533396;Vanjski
Dzuro;Knezevic;dknezevic;x&44G95U;Uprava;dknezevic@vladimir.putin;0916748938;DistroGrupa
Zvonimir;Jukic;zjukic;f$92V30F;Uprava;zjukic@vladimir.putin;0910298743;Zaposlenici
Toni;Nikolic;tnikolic;n&35I90J;Uprava;tnikolic@vladimir.putin;0918128536;Zaposlenici
Lela;Simunovic;lsimunovic;h$79N46S;Uprava;lsimunovic@vladimir.putin;0919043126;Vanjski
Vuk;Posavec;vposavec;d&14L76G;Financije;vposavec@vladimir.putin;0916339129;DistroGrupa
Krsto;Tomic;ktomic;y$47L10Z;Marketing;ktomic@vladimir.putin;0911021494;DistroGrupa
Zvonimir;Jukic;zjukic;s&68R60S;Financije;zjukic@vladimir.putin;0917673286;Administrator
Vladislav;Tomic;vtomic;w&97M36O;Uprava;vtomic@vladimir.putin;0916243495;DistroGrupa
Drzislav;Knezevic;dknezevic;e$19X41D;Vanjski korisnici;dknezevic@vladimir.putin;0913100403;Vanjski
Mislav;Bosnjak;mbosnjak;l!48W87E;Vanjski korisnici;mbosnjak@vladimir.putin;0910186109;Vanjski
Buga;Nikolic;bnikolic;e%48J85E;Financije;bnikolic@vladimir.putin;0912240083;Zaposlenici
Mislav;Tomic;mtomic;"f""67L14V";Marketing;mtomic@vladimir.putin;0918655141;DistroGrupa
Zvonimir;Simunovic;zsimunovic;d$16V65P;Financije;zsimunovic@vladimir.putin;0914450353;Administrator
Mislav;Nikolic;mnikolic;v&86F34K;Marketing;mnikolic@vladimir.putin;0913554850;Vanjski
Hrvojka;Jukic;hjukic;z&67Q31T;Uprava;hjukic@vladimir.putin;0914711423;Administrator
Matt;Loncar;mloncar;s#56Y41T;Marketing;mloncar@vladimir.putin;0912930752;Administrator
Vesna;Kovacevic;vkovacevic;e#95T14Q;Financije;vkovacevic@vladimir.putin;0918516462;DistroGrupa
Pero;Mamic;pmamic;j&20Z25U;Marketing;pmamic@vladimir.putin;0913899264;Vanjski
Matt;Mamic;mmamic;"e""99L73G";Marketing;mmamic@vladimir.putin;0911536150;DistroGrupa
Bojan;Jukic;bjukic;d$42I15O;Vanjski korisnici;bjukic@vladimir.putin;0915340067;DistroGrupa
Doroteja;Filipovic;dfilipovic;"z""20S51D";Marketing;dfilipovic@vladimir.putin;0919846325;Vanjski
Vladislava;Posavec;vposavec;u$94E41P;Financije;vposavec@vladimir.putin;0916586594;Vanjski
Vesna;Bozic;vbozic;g&49G23Z;Uprava;vbozic@vladimir.putin;0917263086;Vanjski
Vladislav;Knezevic;vknezevic;i$70F47A;Marketing;vknezevic@vladimir.putin;0914320700;Zaposlenici
Vladislav;Jukic;vjukic;b$83U36N;Uprava;vjukic@vladimir.putin;0919953500;Vanjski
Zorja;Nikolic;znikolic;q#77I56Y;Marketing;znikolic@vladimir.putin;0911900252;Vanjski
Margarita;Jukic;mjukic;z#73Q52O;Marketing;mjukic@vladimir.putin;0915524150;Zaposlenici
Hrvoje;Posavec;hposavec;k&93X36O;Vanjski korisnici;hposavec@vladimir.putin;0918027362;DistroGrupa
Kresimir;Mamic;kmamic;i!12C63S;Uprava;kmamic@vladimir.putin;0917205737;Zaposlenici
Toni;Nikolic;tnikolic;r%94Q35X;Financije;tnikolic@vladimir.putin;0915039115;Zaposlenici
Miroslav;Mamic;mmamic;b%18G38A;Marketing;mmamic@vladimir.putin;0914383440;Administrator
Hrvojka;Knezevic;hknezevic;y%42D42Z;Marketing;hknezevic@vladimir.putin;0913880467;Vanjski
Danica;Filipovic;dfilipovic;j!64A35J;Marketing;dfilipovic@vladimir.putin;0911212876;Administrator
Drzislav;Knezevic;dknezevic;v$88M70A;Financije;dknezevic@vladimir.putin;0914157349;DistroGrupa
Mislav;Tomic;mtomic;"e""38F47J";Marketing;mtomic@vladimir.putin;0918476195;Administrator
Miroslav;Tomic;mtomic;"s""61K15Z";Financije;mtomic@vladimir.putin;0918427118;DistroGrupa
Doroteja;Tomic;dtomic;g#98N57V;Financije;dtomic@vladimir.putin;0914590347;Vanjski
Zora;Loncar;zloncar;v&54Q95T;Vanjski korisnici;zloncar@vladimir.putin;0917062233;DistroGrupa
Katarina;Loncar;kloncar;z&64G91Z;Marketing;kloncar@vladimir.putin;0917970813;Zaposlenici
Drzislav;Cosci;dcosci;x%42W57R;Vanjski korisnici;dcosci@vladimir.putin;0919721933;Administrator
Morana;Loncar;mloncar;m%48Y53R;Uprava;mloncar@vladimir.putin;0911697205;Vanjski
Toni;Simunovic;tsimunovic;h%76V13B;Marketing;tsimunovic@vladimir.putin;0916727219;DistroGrupa
Neda;Mamic;nmamic;"l""62M44H";Vanjski korisnici;nmamic@vladimir.putin;0913182689;Vanjski
Bojana;Jukic;bjukic;b!55W97K;Financije;bjukic@vladimir.putin;0911555473;Zaposlenici
Kresimir;Mamic;kmamic;c&52I46T;Marketing;kmamic@vladimir.putin;0918893465;DistroGrupa
Doroteja;Filipovic;dfilipovic;q&77D78K;Financije;dfilipovic@vladimir.putin;0918034832;Zaposlenici
Vladislav;Loncar;vloncar;s&74A59G;Uprava;vloncar@vladimir.putin;0911804933;DistroGrupa
Drzislav;Horvat;dhorvat;"v""63M26B";Marketing;dhorvat@vladimir.putin;0912826109;Administrator
Milan;Posavec;mposavec;c&78P43Z;Financije;mposavec@vladimir.putin;0918369818;DistroGrupa
Zorja;Nikolic;znikolic;f%86P84B;Uprava;znikolic@vladimir.putin;0917528358;Zaposlenici
Jennifer;Tomic;jtomic;n$72J57Q;Financije;jtomic@vladimir.putin;0918556775;Administrator
Drzislav;Loncar;dloncar;v$22I57Y;Marketing;dloncar@vladimir.putin;0919435446;Administrator
Ann;Horvat;ahorvat;f$60M11X;Vanjski korisnici;ahorvat@vladimir.putin;0919618276;Zaposlenici
Zvonimir;Simunovic;zsimunovic;e&26Y31M;Uprava;zsimunovic@vladimir.putin;0915070583;Vanjski
Bojan;Filipovic;bfilipovic;t$58H29T;Financije;bfilipovic@vladimir.putin;0910342108;Vanjski
Tvrtko;Tomic;ttomic;g&51K77Z;Marketing;ttomic@vladimir.putin;0914854925;Vanjski
Milan;Knezevic;mknezevic;l!51S77D;Uprava;mknezevic@vladimir.putin;0913336220;Zaposlenici
Sam;Simunovic;ssimunovic;y#90D51Z;Marketing;ssimunovic@vladimir.putin;0919519333;DistroGrupa
Sam;Bosnjak;sbosnjak;x#94B31A;Financije;sbosnjak@vladimir.putin;0912434511;Administrator
Lela;Knezevic;lknezevic;m#48C30S;Financije;lknezevic@vladimir.putin;0910534309;DistroGrupa
Bojan;Horvat;bhorvat;t&75K78Z;Marketing;bhorvat@vladimir.putin;0919778318;DistroGrupa
Vladislava;Loncar;vloncar;c#86K96C;Marketing;vloncar@vladimir.putin;0919559865;Vanjski
Sam;Jukic;sjukic;n%86P37Z;Financije;sjukic@vladimir.putin;0916925172;Administrator
Kosjenka;Nikolic;knikolic;a&37R58V;Vanjski korisnici;knikolic@vladimir.putin;0918860774;Administrator
Pero;Jukic;pjukic;f!61N75O;Financije;pjukic@vladimir.putin;0913112728;Vanjski
Sam;Bosnjak;sbosnjak;b!89G96J;Vanjski korisnici;sbosnjak@vladimir.putin;0917316443;Vanjski
Vladislav;Mamic;vmamic;m&17Q40D;Financije;vmamic@vladimir.putin;0911083731;DistroGrupa
Zorja;Nikolic;znikolic;e%38K96K;Financije;znikolic@vladimir.putin;0917613451;Zaposlenici
Vladislava;Horvat;vhorvat;e&19G82Z;Marketing;vhorvat@vladimir.putin;0918419121;Zaposlenici
Miroslav;Horvat;mhorvat;s#48L94H;Vanjski korisnici;mhorvat@vladimir.putin;0915227239;Vanjski
Neda;Loncar;nloncar;"e""50X34Y";Financije;nloncar@vladimir.putin;0914949739;DistroGrupa
Mislav;Tomic;mtomic;f%98Z18A;Financije;mtomic@vladimir.putin;0910054738;Administrator
Lela;Jukic;ljukic;j$43L18Y;Uprava;ljukic@vladimir.putin;0916361992;DistroGrupa
Ann;Posavec;aposavec;f$36G86Q;Vanjski korisnici;aposavec@vladimir.putin;0917392387;Zaposlenici
Vladislav;Bosnjak;vbosnjak;u%95C94F;Financije;vbosnjak@vladimir.putin;0914585404;Vanjski
Buga;Kovacevic;bkovacevic;n%33M49C;Financije;bkovacevic@vladimir.putin;0913731728;DistroGrupa
Ann;Knezevic;aknezevic;i!59V29Y;Vanjski korisnici;aknezevic@vladimir.putin;0911450426;Zaposlenici
Buga;Nikolic;bnikolic;v#92U44X;Financije;bnikolic@vladimir.putin;0917984567;Vanjski
Doroteja;Filipovic;dfilipovic;z$40B44X;Vanjski korisnici;dfilipovic@vladimir.putin;0914568077;DistroGrupa
Matt;Simunovic;msimunovic;d&41K55S;Financije;msimunovic@vladimir.putin;0911783073;Administrator
Mislav;Filipovic;mfilipovic;s&81A66Q;Marketing;mfilipovic@vladimir.putin;0911660436;Zaposlenici
Kresimir;Tomic;ktomic;p&71T49O;Financije;ktomic@vladimir.putin;0915972663;Vanjski
Zora;Bosnjak;zbosnjak;"c""95C26Q";Financije;zbosnjak@vladimir.putin;0915274102;Administrator
Zorja;Nikolic;znikolic;k#93Q85G;Uprava;znikolic@vladimir.putin;0916357091;DistroGrupa
Mislav;Horvat;mhorvat;n$47T24N;Financije;mhorvat@vladimir.putin;0910998406;Zaposlenici
Hrvojka;Kovacevic;hkovacevic;y&41W40K;Vanjski korisnici;hkovacevic@vladimir.putin;0913714643;DistroGrupa
Buga;Tomic;btomic;n!16V47K;Marketing;btomic@vladimir.putin;0918675514;DistroGrupa
Toni;Bozic;tbozic;r&60E92P;Marketing;tbozic@vladimir.putin;0915163429;Administrator
Hrvoje;Tomic;htomic;r$39P99G;Financije;htomic@vladimir.putin;0919824069;Administrator
Vladislava;Cosci;vcosci;p&18S81F;Marketing;vcosci@vladimir.putin;0911023774;Administrator
Danica;Jukic;djukic;"v""69M10M";Uprava;djukic@vladimir.putin;0910304320;Zaposlenici
Toni;Filipovic;tfilipovic;"z""67I19T";Marketing;tfilipovic@vladimir.putin;0913691544;Vanjski
Vladislava;Nikolic;vnikolic;r&25S45B;Marketing;vnikolic@vladimir.putin;0917963224;Zaposlenici
Morana;Kovacevic;mkovacevic;b&72C85W;Uprava;mkovacevic@vladimir.putin;0911664525;Zaposlenici
Matt;Loncar;mloncar;g%32E69N;Uprava;mloncar@vladimir.putin;0914562656;DistroGrupa
Katarina;Bosnjak;kbosnjak;s!63F51I;Financije;kbosnjak@vladimir.putin;0912302731;Zaposlenici
Sam;Bozic;sbozic;r$68Y21B;Marketing;sbozic@vladimir.putin;0915250819;Vanjski
Krsto;Loncar;kloncar;t!15Q29S;Financije;kloncar@vladimir.putin;0914473504;DistroGrupa
Vuk;Mamic;vmamic;"c""95Y44F";Vanjski korisnici;vmamic@vladimir.putin;0915295288;Zaposlenici
Dzuro;Tomic;dtomic;j%37G77C;Vanjski korisnici;dtomic@vladimir.putin;0918872393;Administrator
Zora;Kovacevic;zkovacevic;o%62X71T;Uprava;zkovacevic@vladimir.putin;0912737376;Administrator
Krsto;Knezevic;kknezevic;h%10V31Q;Financije;kknezevic@vladimir.putin;0915388045;Zaposlenici
Zvonimir;Knezevic;zknezevic;c!21B98S;Marketing;zknezevic@vladimir.putin;0919235209;Vanjski
Zvonimir;Tomic;ztomic;d#70C12L;Marketing;ztomic@vladimir.putin;0915282388;Zaposlenici
Zvonimir;Knezevic;zknezevic;"x""24L14T";Marketing;zknezevic@vladimir.putin;0917917735;DistroGrupa
Milan;Filipovic;mfilipovic;"w""98D90G";Vanjski korisnici;mfilipovic@vladimir.putin;0917915503;DistroGrupa
Krsto;Knezevic;kknezevic;"w""34X31A";Marketing;kknezevic@vladimir.putin;0917409619;DistroGrupa
Hrvoje;Posavec;hposavec;r$78M31V;Marketing;hposavec@vladimir.putin;0917425704;Zaposlenici
Toni;Tomic;ttomic;g%13K23E;Financije;ttomic@vladimir.putin;0910775886;Administrator
Milan;Filipovic;mfilipovic;"o""96E45K";Financije;mfilipovic@vladimir.putin;0916727050;DistroGrupa
Miroslav;Kovacevic;mkovacevic;r$39T97I;Uprava;mkovacevic@vladimir.putin;0918583967;Administrator
Katarina;Filipovic;kfilipovic;s#30K50I;Vanjski korisnici;kfilipovic@vladimir.putin;0919821968;Zaposlenici
Dzuro;Horvat;dhorvat;"d""80Q21V";Marketing;dhorvat@vladimir.putin;0912711617;Zaposlenici
Mislav;Bozic;mbozic;"h""41K52K";Vanjski korisnici;mbozic@vladimir.putin;0911780469;DistroGrupa
Hrvojka;Jukic;hjukic;l&79Y58C;Vanjski korisnici;hjukic@vladimir.putin;0917042976;DistroGrupa
Bojan;Bosnjak;bbosnjak;f%60E21O;Marketing;bbosnjak@vladimir.putin;0916124360;Administrator
Vladislav;Tomic;vtomic;p%67C17U;Uprava;vtomic@vladimir.putin;0914161109;DistroGrupa
Bojan;Nikolic;bnikolic;"n""67B69R";Vanjski korisnici;bnikolic@vladimir.putin;0914255117;DistroGrupa
Margarita;Cosci;mcosci;x#49P35T;Vanjski korisnici;mcosci@vladimir.putin;0916651513;DistroGrupa
Kosjenka;Bosnjak;kbosnjak;b!12V84F;Vanjski korisnici;kbosnjak@vladimir.putin;0910883002;Zaposlenici
Hrvojka;Nikolic;hnikolic;n!92L33W;Uprava;hnikolic@vladimir.putin;0918382479;Zaposlenici
Doroteja;Horvat;dhorvat;g$40N71X;Marketing;dhorvat@vladimir.putin;0916582694;DistroGrupa
Jennifer;Cosci;jcosci;b&80P95G;Financije;jcosci@vladimir.putin;0916653358;DistroGrupa
Hrvojka;Knezevic;hknezevic;a$87L59N;Financije;hknezevic@vladimir.putin;0910065565;Administrator
Margarita;Kovacevic;mkovacevic;h&88F78K;Financije;mkovacevic@vladimir.putin;0913915015;Zaposlenici
Toni;Simunovic;tsimunovic;b%63N86V;Marketing;tsimunovic@vladimir.putin;0915441030;DistroGrupa
Sam;Mamic;smamic;g&49O40Z;Vanjski korisnici;smamic@vladimir.putin;0918519799;Administrator
Tvrtko;Jukic;tjukic;t%98Z14S;Vanjski korisnici;tjukic@vladimir.putin;0913385347;DistroGrupa
Buga;Loncar;bloncar;e$20S26V;Marketing;bloncar@vladimir.putin;0913670419;Administrator
Vladislava;Bosnjak;vbosnjak;"x""60W80C";Financije;vbosnjak@vladimir.putin;0915368638;Zaposlenici
George;Filipovic;gfilipovic;"v""76U98K";Marketing;gfilipovic@vladimir.putin;0918708478;Zaposlenici
Branimir;Nikolic;bnikolic;s&38P30O;Vanjski korisnici;bnikolic@vladimir.putin;0914491661;DistroGrupa
Danica;Bozic;dbozic;"g""89S57W";Vanjski korisnici;dbozic@vladimir.putin;0916588005;Vanjski
Morana;Knezevic;mknezevic;r!90Z47Y;Financije;mknezevic@vladimir.putin;0914530032;Vanjski
