firstname;lastname;username;password;OU;mail;number;securitygroup
Buga;Loncar;bloncar;v#11U79M;OU=Vanjski korisnici,DC=vladimir,DC=putin;bloncar@vladimir.putin;919713894;Zaposlenici
Matt;Posavec;mposavec;t%65O10B;OU=Marketing,DC=vladimir,DC=putin;mposavec@vladimir.putin;919808434;Administrator
Bojan;Tomic;btomic;o&66Z36X;OU=Vanjski korisnici,DC=vladimir,DC=putin;btomic@vladimir.putin;918019658;Vanjski
George;Loncar;gloncar;r#81T99Q;OU=Marketing,DC=vladimir,DC=putin;gloncar@vladimir.putin;919138618;Administrator
Zvonimir;Filipovic;zfilipovic;z#97F72U;OU=Financije,DC=vladimir,DC=putin;zfilipovic@vladimir.putin;911083140;Vanjski
Neda;Bosnjak;nbosnjak;a%92L71Y;OU=Financije,DC=vladimir,DC=putin;nbosnjak@vladimir.putin;913030823;Vanjski
Mislav;Kovacevic;mkovacevic;"g""25N83V";OU=Uprava,DC=vladimir,DC=putin;mkovacevic@vladimir.putin;913987655;DistroGrupa
Zorja;Loncar;zloncar;n$43Z78V;OU=Marketing,DC=vladimir,DC=putin;zloncar@vladimir.putin;919360799;Zaposlenici
Vladislav;Simunovic;vsimunovic;r#23U15P;OU=Vanjski korisnici,DC=vladimir,DC=putin;vsimunovic@vladimir.putin;915235743;Zaposlenici
Hrvoje;Tomic;htomic;e#42E62O;OU=Vanjski korisnici,DC=vladimir,DC=putin;htomic@vladimir.putin;914395166;DistroGrupa
Matt;Bozic;mbozic;j#88X13H;OU=Uprava,DC=vladimir,DC=putin;mbozic@vladimir.putin;914686043;Administrator
Dzuro;Knezevic;dknezevic;b!70W10Z;OU=Marketing,DC=vladimir,DC=putin;dknezevic@vladimir.putin;916963646;DistroGrupa
Vesna;Horvat;vhorvat;y&37I43K;OU=Uprava,DC=vladimir,DC=putin;vhorvat@vladimir.putin;914284058;Zaposlenici
Krsto;Bosnjak;kbosnjak;k#44A25M;OU=Vanjski korisnici,DC=vladimir,DC=putin;kbosnjak@vladimir.putin;911381344;Vanjski
Pero;Bosnjak;pbosnjak;c$42Z55D;OU=Financije,DC=vladimir,DC=putin;pbosnjak@vladimir.putin;911210059;Vanjski
Katarina;Nikolic;knikolic;b#68X30S;OU=Uprava,DC=vladimir,DC=putin;knikolic@vladimir.putin;919192771;Vanjski
Mislav;Loncar;mloncar;"d""58I99V";OU=Marketing,DC=vladimir,DC=putin;mloncar@vladimir.putin;918218303;DistroGrupa
Tvrtko;Tomic;ttomic;"o""43M96O";OU=Uprava,DC=vladimir,DC=putin;ttomic@vladimir.putin;917880519;DistroGrupa
Pero;Cosci;pcosci;q%84Y15E;OU=Uprava,DC=vladimir,DC=putin;pcosci@vladimir.putin;916790268;Administrator
Krsto;Posavec;kposavec;s%11S90M;OU=Vanjski korisnici,DC=vladimir,DC=putin;kposavec@vladimir.putin;912103512;Administrator
Kosjenka;Horvat;khorvat;q%12E59O;OU=Vanjski korisnici,DC=vladimir,DC=putin;khorvat@vladimir.putin;917422404;Zaposlenici
Sam;Filipovic;sfilipovic;h&12J99T;OU=Marketing,DC=vladimir,DC=putin;sfilipovic@vladimir.putin;917125387;DistroGrupa
Mislav;Loncar;mloncar;v$42L68A;OU=Marketing,DC=vladimir,DC=putin;mloncar@vladimir.putin;911417960;Administrator
Ann;Nikolic;anikolic;b$36Z17R;OU=Marketing,DC=vladimir,DC=putin;anikolic@vladimir.putin;914449496;Zaposlenici
Vesna;Horvat;vhorvat;b%97H91S;OU=Vanjski korisnici,DC=vladimir,DC=putin;vhorvat@vladimir.putin;912582793;DistroGrupa
Zorja;Horvat;zhorvat;c!46K38M;OU=Uprava,DC=vladimir,DC=putin;zhorvat@vladimir.putin;919783428;Administrator
Margarita;Simunovic;msimunovic;i%22Z49T;OU=Financije,DC=vladimir,DC=putin;msimunovic@vladimir.putin;912221914;Administrator
Kosjenka;Bosnjak;kbosnjak;u$67E49P;OU=Uprava,DC=vladimir,DC=putin;kbosnjak@vladimir.putin;918649644;Administrator
Pero;Cosci;pcosci;"z""98B60Q";OU=Vanjski korisnici,DC=vladimir,DC=putin;pcosci@vladimir.putin;918719881;DistroGrupa
Zorja;Bosnjak;zbosnjak;m%74U36K;OU=Vanjski korisnici,DC=vladimir,DC=putin;zbosnjak@vladimir.putin;917444448;Zaposlenici
Hrvojka;Simunovic;hsimunovic;k!24D29Y;OU=Uprava,DC=vladimir,DC=putin;hsimunovic@vladimir.putin;914038506;Administrator
Morana;Mamic;mmamic;o#70J54C;OU=Uprava,DC=vladimir,DC=putin;mmamic@vladimir.putin;911387737;Zaposlenici
Lela;Mamic;lmamic;h#99S64Z;OU=Financije,DC=vladimir,DC=putin;lmamic@vladimir.putin;910266634;Zaposlenici
Dzuro;Horvat;dhorvat;l#44I75S;OU=Marketing,DC=vladimir,DC=putin;dhorvat@vladimir.putin;919396987;DistroGrupa
Lela;Filipovic;lfilipovic;v&10L55L;OU=Financije,DC=vladimir,DC=putin;lfilipovic@vladimir.putin;916357031;DistroGrupa
Katarina;Loncar;kloncar;d&13J75H;OU=Uprava,DC=vladimir,DC=putin;kloncar@vladimir.putin;912579688;Administrator
Milan;Bozic;mbozic;d%44M56E;OU=Financije,DC=vladimir,DC=putin;mbozic@vladimir.putin;910799684;Zaposlenici
Danica;Bosnjak;dbosnjak;"h""36R52G";OU=Financije,DC=vladimir,DC=putin;dbosnjak@vladimir.putin;912281907;Vanjski
Doroteja;Loncar;dloncar;x#56F32V;OU=Vanjski korisnici,DC=vladimir,DC=putin;dloncar@vladimir.putin;913116264;DistroGrupa
Toni;Tomic;ttomic;k!47R29F;OU=Vanjski korisnici,DC=vladimir,DC=putin;ttomic@vladimir.putin;915540418;Vanjski
Vladislava;Kovacevic;vkovacevic;p&90W19L;OU=Financije,DC=vladimir,DC=putin;vkovacevic@vladimir.putin;917705536;DistroGrupa
Jennifer;Tomic;jtomic;z$80C60P;OU=Marketing,DC=vladimir,DC=putin;jtomic@vladimir.putin;911355039;Zaposlenici
Tvrtko;Knezevic;tknezevic;o%51E33T;OU=Marketing,DC=vladimir,DC=putin;tknezevic@vladimir.putin;919798652;Administrator
Bojan;Nikolic;bnikolic;i!16R90H;OU=Financije,DC=vladimir,DC=putin;bnikolic@vladimir.putin;910538621;Vanjski
Ann;Bosnjak;abosnjak;t$24S95P;OU=Uprava,DC=vladimir,DC=putin;abosnjak@vladimir.putin;916454493;Vanjski
Drzislav;Filipovic;dfilipovic;h%90A81U;OU=Financije,DC=vladimir,DC=putin;dfilipovic@vladimir.putin;912785708;DistroGrupa
Zvonimir;Cosci;zcosci;k%11I56L;OU=Marketing,DC=vladimir,DC=putin;zcosci@vladimir.putin;913181486;Administrator
Mislav;Simunovic;msimunovic;h%13X44G;OU=Financije,DC=vladimir,DC=putin;msimunovic@vladimir.putin;916483727;DistroGrupa
Danica;Bozic;dbozic;a$43O81O;OU=Vanjski korisnici,DC=vladimir,DC=putin;dbozic@vladimir.putin;914048527;DistroGrupa
Miroslav;Kovacevic;mkovacevic;a#84N94S;OU=Financije,DC=vladimir,DC=putin;mkovacevic@vladimir.putin;917632921;Vanjski
Bojana;Loncar;bloncar;k#85S87W;OU=Vanjski korisnici,DC=vladimir,DC=putin;bloncar@vladimir.putin;914666616;DistroGrupa
Matt;Simunovic;msimunovic;j&29J13S;OU=Vanjski korisnici,DC=vladimir,DC=putin;msimunovic@vladimir.putin;910987787;Zaposlenici
Vladislav;Horvat;vhorvat;j$60L19E;OU=Financije,DC=vladimir,DC=putin;vhorvat@vladimir.putin;911539530;DistroGrupa
Bojana;Posavec;bposavec;g$40F46Q;OU=Vanjski korisnici,DC=vladimir,DC=putin;bposavec@vladimir.putin;913290269;Vanjski
Morana;Kovacevic;mkovacevic;k%93X71T;OU=Uprava,DC=vladimir,DC=putin;mkovacevic@vladimir.putin;912430089;Zaposlenici
Buga;Loncar;bloncar;z&63E11X;OU=Uprava,DC=vladimir,DC=putin;bloncar@vladimir.putin;911527167;Vanjski
Sam;Horvat;shorvat;"y""46S52B";OU=Marketing,DC=vladimir,DC=putin;shorvat@vladimir.putin;914553951;Zaposlenici
Ann;Tomic;atomic;d!86A72H;OU=Marketing,DC=vladimir,DC=putin;atomic@vladimir.putin;914681852;Vanjski
Bojan;Bosnjak;bbosnjak;a&75Q19K;OU=Uprava,DC=vladimir,DC=putin;bbosnjak@vladimir.putin;913151355;Vanjski
Lela;Bosnjak;lbosnjak;e#79D87P;OU=Marketing,DC=vladimir,DC=putin;lbosnjak@vladimir.putin;911068144;Administrator
Pero;Nikolic;pnikolic;x!66X57N;OU=Financije,DC=vladimir,DC=putin;pnikolic@vladimir.putin;912234455;Vanjski
Kosjenka;Tomic;ktomic;n!71M40B;OU=Financije,DC=vladimir,DC=putin;ktomic@vladimir.putin;911277653;Vanjski
Vesna;Simunovic;vsimunovic;g&26Z53K;OU=Marketing,DC=vladimir,DC=putin;vsimunovic@vladimir.putin;916161952;DistroGrupa
Vesna;Cosci;vcosci;w&96G39T;OU=Financije,DC=vladimir,DC=putin;vcosci@vladimir.putin;913628080;Zaposlenici
Margarita;Posavec;mposavec;q&35M27D;OU=Vanjski korisnici,DC=vladimir,DC=putin;mposavec@vladimir.putin;919710329;Administrator
Neda;Jukic;njukic;z&17P84V;OU=Marketing,DC=vladimir,DC=putin;njukic@vladimir.putin;913620051;Zaposlenici
Sam;Knezevic;sknezevic;k#81G15W;OU=Vanjski korisnici,DC=vladimir,DC=putin;sknezevic@vladimir.putin;917754880;Administrator
Hrvojka;Posavec;hposavec;z%78W56Q;OU=Marketing,DC=vladimir,DC=putin;hposavec@vladimir.putin;912021377;Vanjski
Morana;Bozic;mbozic;k%46D74Q;OU=Marketing,DC=vladimir,DC=putin;mbozic@vladimir.putin;919874051;Vanjski
Morana;Tomic;mtomic;y#66G92Q;OU=Marketing,DC=vladimir,DC=putin;mtomic@vladimir.putin;918118857;Administrator
Lela;Jukic;ljukic;"j""83T93I";OU=Financije,DC=vladimir,DC=putin;ljukic@vladimir.putin;918743956;Zaposlenici
Zorja;Simunovic;zsimunovic;"r""53Q60N";OU=Marketing,DC=vladimir,DC=putin;zsimunovic@vladimir.putin;918333016;Zaposlenici
Krsto;Horvat;khorvat;i!82F24Z;OU=Marketing,DC=vladimir,DC=putin;khorvat@vladimir.putin;917845936;DistroGrupa
Sam;Tomic;stomic;k%91R72S;OU=Uprava,DC=vladimir,DC=putin;stomic@vladimir.putin;918229914;Zaposlenici
Miroslav;Tomic;mtomic;b&70H35I;OU=Vanjski korisnici,DC=vladimir,DC=putin;mtomic@vladimir.putin;918534316;DistroGrupa
Drzislav;Filipovic;dfilipovic;t#62J94A;OU=Financije,DC=vladimir,DC=putin;dfilipovic@vladimir.putin;916320712;Zaposlenici
Danica;Simunovic;dsimunovic;t#35N88I;OU=Vanjski korisnici,DC=vladimir,DC=putin;dsimunovic@vladimir.putin;911915822;Vanjski
Doroteja;Horvat;dhorvat;"h""30D85G";OU=Uprava,DC=vladimir,DC=putin;dhorvat@vladimir.putin;915826891;DistroGrupa
Danica;Knezevic;dknezevic;k#36F31I;OU=Vanjski korisnici,DC=vladimir,DC=putin;dknezevic@vladimir.putin;910155263;Vanjski
Matt;Bosnjak;mbosnjak;f&41Z90M;OU=Vanjski korisnici,DC=vladimir,DC=putin;mbosnjak@vladimir.putin;912747301;Zaposlenici
Bojana;Loncar;bloncar;m%50F93P;OU=Marketing,DC=vladimir,DC=putin;bloncar@vladimir.putin;916619246;Zaposlenici
Miroslav;Horvat;mhorvat;y!21A44Y;OU=Marketing,DC=vladimir,DC=putin;mhorvat@vladimir.putin;915308895;DistroGrupa
Katarina;Loncar;kloncar;"z""13X66S";OU=Uprava,DC=vladimir,DC=putin;kloncar@vladimir.putin;910066757;Zaposlenici
Vladislava;Bozic;vbozic;l#26L95H;OU=Marketing,DC=vladimir,DC=putin;vbozic@vladimir.putin;910000411;Administrator
Lela;Loncar;lloncar;l#68N17P;OU=Uprava,DC=vladimir,DC=putin;lloncar@vladimir.putin;916737668;Administrator
Dzuro;Bosnjak;dbosnjak;z&40S96P;OU=Marketing,DC=vladimir,DC=putin;dbosnjak@vladimir.putin;919700295;DistroGrupa
Bojan;Bozic;bbozic;i&74I60C;OU=Marketing,DC=vladimir,DC=putin;bbozic@vladimir.putin;914055744;Vanjski
Vladislava;Jukic;vjukic;"b""14K33N";OU=Marketing,DC=vladimir,DC=putin;vjukic@vladimir.putin;912341517;Administrator
Mislav;Kovacevic;mkovacevic;b#40M31C;OU=Uprava,DC=vladimir,DC=putin;mkovacevic@vladimir.putin;916858609;DistroGrupa
Zora;Loncar;zloncar;t#54G39T;OU=Vanjski korisnici,DC=vladimir,DC=putin;zloncar@vladimir.putin;919324300;Vanjski
Zora;Tomic;ztomic;z$10E94A;OU=Vanjski korisnici,DC=vladimir,DC=putin;ztomic@vladimir.putin;914154407;DistroGrupa
Vladislav;Filipovic;vfilipovic;b#36M14N;OU=Vanjski korisnici,DC=vladimir,DC=putin;vfilipovic@vladimir.putin;919625037;Administrator
Vladislav;Cosci;vcosci;"y""26Q36I";OU=Uprava,DC=vladimir,DC=putin;vcosci@vladimir.putin;915851971;Zaposlenici
Ann;Filipovic;afilipovic;k$87H98P;OU=Marketing,DC=vladimir,DC=putin;afilipovic@vladimir.putin;915547916;Administrator
Bojan;Bosnjak;bbosnjak;e$34D30O;OU=Vanjski korisnici,DC=vladimir,DC=putin;bbosnjak@vladimir.putin;911116202;Zaposlenici
Sam;Filipovic;sfilipovic;b#84F69P;OU=Uprava,DC=vladimir,DC=putin;sfilipovic@vladimir.putin;917512046;Vanjski
Tvrtko;Nikolic;tnikolic;m!81N24D;OU=Financije,DC=vladimir,DC=putin;tnikolic@vladimir.putin;911200108;Vanjski
Bojana;Bozic;bbozic;y$82B63J;OU=Marketing,DC=vladimir,DC=putin;bbozic@vladimir.putin;918290493;DistroGrupa
Buga;Simunovic;bsimunovic;e$92S82K;OU=Vanjski korisnici,DC=vladimir,DC=putin;bsimunovic@vladimir.putin;915385731;Zaposlenici
Kosjenka;Knezevic;kknezevic;"d""22T40C";OU=Uprava,DC=vladimir,DC=putin;kknezevic@vladimir.putin;913016210;Zaposlenici
Bojana;Filipovic;bfilipovic;l!18Z42D;OU=Financije,DC=vladimir,DC=putin;bfilipovic@vladimir.putin;915407528;Zaposlenici
Pero;Knezevic;pknezevic;n$98T67A;OU=Financije,DC=vladimir,DC=putin;pknezevic@vladimir.putin;917857144;Vanjski
Zora;Simunovic;zsimunovic;x%39A80T;OU=Financije,DC=vladimir,DC=putin;zsimunovic@vladimir.putin;910881101;Administrator
Neda;Horvat;nhorvat;q$93L41R;OU=Vanjski korisnici,DC=vladimir,DC=putin;nhorvat@vladimir.putin;919540807;Administrator
Kresimir;Jukic;kjukic;"b""82Z96W";OU=Marketing,DC=vladimir,DC=putin;kjukic@vladimir.putin;914402069;Vanjski
Drzislav;Mamic;dmamic;v!16T15T;OU=Financije,DC=vladimir,DC=putin;dmamic@vladimir.putin;918301488;DistroGrupa
Krsto;Kovacevic;kkovacevic;w$61J81M;OU=Uprava,DC=vladimir,DC=putin;kkovacevic@vladimir.putin;913686929;DistroGrupa
Neda;Jukic;njukic;v&70C43A;OU=Marketing,DC=vladimir,DC=putin;njukic@vladimir.putin;910163153;Vanjski
Zorja;Jukic;zjukic;"x""93W55I";OU=Vanjski korisnici,DC=vladimir,DC=putin;zjukic@vladimir.putin;912085667;Administrator
George;Jukic;gjukic;j!23T41R;OU=Marketing,DC=vladimir,DC=putin;gjukic@vladimir.putin;910244030;Zaposlenici
Bojana;Mamic;bmamic;q&86A93A;OU=Financije,DC=vladimir,DC=putin;bmamic@vladimir.putin;917974716;Administrator
Vladislav;Nikolic;vnikolic;y%92P97C;OU=Uprava,DC=vladimir,DC=putin;vnikolic@vladimir.putin;916569700;Zaposlenici
Katarina;Filipovic;kfilipovic;x!34K87N;OU=Marketing,DC=vladimir,DC=putin;kfilipovic@vladimir.putin;915772688;Vanjski
Vladislav;Nikolic;vnikolic;o&92A64E;OU=Uprava,DC=vladimir,DC=putin;vnikolic@vladimir.putin;916280183;Zaposlenici
Hrvojka;Simunovic;hsimunovic;n#66B55J;OU=Vanjski korisnici,DC=vladimir,DC=putin;hsimunovic@vladimir.putin;919445904;Administrator
Miroslav;Cosci;mcosci;m&34Z80M;OU=Marketing,DC=vladimir,DC=putin;mcosci@vladimir.putin;914646619;Administrator
Kosjenka;Bozic;kbozic;a!11D23P;OU=Uprava,DC=vladimir,DC=putin;kbozic@vladimir.putin;910117429;Vanjski
Tvrtko;Loncar;tloncar;g$85I44X;OU=Marketing,DC=vladimir,DC=putin;tloncar@vladimir.putin;910950400;Zaposlenici
Sam;Horvat;shorvat;d&59C38H;OU=Uprava,DC=vladimir,DC=putin;shorvat@vladimir.putin;913804837;DistroGrupa
Kresimir;Mamic;kmamic;h!55O28I;OU=Marketing,DC=vladimir,DC=putin;kmamic@vladimir.putin;913771408;Zaposlenici
Jennifer;Nikolic;jnikolic;t#44U23N;OU=Vanjski korisnici,DC=vladimir,DC=putin;jnikolic@vladimir.putin;916729817;Zaposlenici
Neda;Simunovic;nsimunovic;y!86W13M;OU=Uprava,DC=vladimir,DC=putin;nsimunovic@vladimir.putin;918942979;DistroGrupa
Pero;Bozic;pbozic;u#60B64M;OU=Uprava,DC=vladimir,DC=putin;pbozic@vladimir.putin;918408367;Zaposlenici
Kosjenka;Filipovic;kfilipovic;"s""66V97E";OU=Marketing,DC=vladimir,DC=putin;kfilipovic@vladimir.putin;919728704;Zaposlenici
Neda;Bozic;nbozic;s%43N50X;OU=Vanjski korisnici,DC=vladimir,DC=putin;nbozic@vladimir.putin;916522683;Administrator
Hrvojka;Kovacevic;hkovacevic;z!69W91A;OU=Uprava,DC=vladimir,DC=putin;hkovacevic@vladimir.putin;913225127;Zaposlenici
Dzuro;Jukic;djukic;g!81E92E;OU=Vanjski korisnici,DC=vladimir,DC=putin;djukic@vladimir.putin;911852048;DistroGrupa
Lela;Horvat;lhorvat;n!87U26F;OU=Vanjski korisnici,DC=vladimir,DC=putin;lhorvat@vladimir.putin;917015509;Zaposlenici
Bojana;Horvat;bhorvat;s!46T99G;OU=Vanjski korisnici,DC=vladimir,DC=putin;bhorvat@vladimir.putin;914865783;Administrator
Miroslav;Kovacevic;mkovacevic;l#12F70K;OU=Uprava,DC=vladimir,DC=putin;mkovacevic@vladimir.putin;918067538;Vanjski
Vuk;Horvat;vhorvat;e!84K66Y;OU=Financije,DC=vladimir,DC=putin;vhorvat@vladimir.putin;911832769;Zaposlenici
Drzislav;Jukic;djukic;t!13X85P;OU=Uprava,DC=vladimir,DC=putin;djukic@vladimir.putin;913366765;Administrator
Bojana;Nikolic;bnikolic;m#97R24X;OU=Vanjski korisnici,DC=vladimir,DC=putin;bnikolic@vladimir.putin;911715887;DistroGrupa
Hrvoje;Mamic;hmamic;m&87G83T;OU=Vanjski korisnici,DC=vladimir,DC=putin;hmamic@vladimir.putin;914214364;Administrator
Milan;Loncar;mloncar;s!36R11C;OU=Financije,DC=vladimir,DC=putin;mloncar@vladimir.putin;912242649;Administrator
Katarina;Nikolic;knikolic;t#72W59J;OU=Marketing,DC=vladimir,DC=putin;knikolic@vladimir.putin;912582096;Administrator
Vladislava;Bosnjak;vbosnjak;z$31U74K;OU=Uprava,DC=vladimir,DC=putin;vbosnjak@vladimir.putin;911309732;Vanjski
Ann;Tomic;atomic;r#86B82M;OU=Financije,DC=vladimir,DC=putin;atomic@vladimir.putin;916960877;Zaposlenici
Milan;Horvat;mhorvat;r$43F13I;OU=Marketing,DC=vladimir,DC=putin;mhorvat@vladimir.putin;912018675;DistroGrupa
Vladislav;Posavec;vposavec;w!15A32V;OU=Financije,DC=vladimir,DC=putin;vposavec@vladimir.putin;918821274;Administrator
Matt;Posavec;mposavec;"u""29E95V";OU=Uprava,DC=vladimir,DC=putin;mposavec@vladimir.putin;919722894;Vanjski
Miroslav;Knezevic;mknezevic;w$27D45R;OU=Marketing,DC=vladimir,DC=putin;mknezevic@vladimir.putin;918234578;Vanjski
Branimir;Bosnjak;bbosnjak;t$13A81N;OU=Uprava,DC=vladimir,DC=putin;bbosnjak@vladimir.putin;912888343;Administrator
Kresimir;Simunovic;ksimunovic;f&99D53S;OU=Vanjski korisnici,DC=vladimir,DC=putin;ksimunovic@vladimir.putin;916031070;DistroGrupa
Pero;Filipovic;pfilipovic;b%42X50W;OU=Uprava,DC=vladimir,DC=putin;pfilipovic@vladimir.putin;912870266;Administrator
Dzuro;Knezevic;dknezevic;d#27P93G;OU=Uprava,DC=vladimir,DC=putin;dknezevic@vladimir.putin;912362800;Zaposlenici
George;Mamic;gmamic;a$16M63C;OU=Uprava,DC=vladimir,DC=putin;gmamic@vladimir.putin;912345707;Administrator
Pero;Kovacevic;pkovacevic;g$84W50V;OU=Vanjski korisnici,DC=vladimir,DC=putin;pkovacevic@vladimir.putin;916707314;Administrator
Margarita;Loncar;mloncar;f#36D91A;OU=Marketing,DC=vladimir,DC=putin;mloncar@vladimir.putin;911116215;Zaposlenici
Branimir;Loncar;bloncar;f!30L52Q;OU=Financije,DC=vladimir,DC=putin;bloncar@vladimir.putin;913622251;Vanjski
Drzislav;Bosnjak;dbosnjak;x$17J74T;OU=Vanjski korisnici,DC=vladimir,DC=putin;dbosnjak@vladimir.putin;915953150;DistroGrupa
Sam;Loncar;sloncar;z&99K45N;OU=Vanjski korisnici,DC=vladimir,DC=putin;sloncar@vladimir.putin;912412024;Administrator
Doroteja;Mamic;dmamic;"d""27A74Q";OU=Financije,DC=vladimir,DC=putin;dmamic@vladimir.putin;918090960;DistroGrupa
Morana;Cosci;mcosci;s#11A99W;OU=Uprava,DC=vladimir,DC=putin;mcosci@vladimir.putin;911722755;Zaposlenici
Branimir;Loncar;bloncar;s&42K19A;OU=Marketing,DC=vladimir,DC=putin;bloncar@vladimir.putin;914114074;Zaposlenici
Vesna;Posavec;vposavec;t$71Z16P;OU=Vanjski korisnici,DC=vladimir,DC=putin;vposavec@vladimir.putin;915698848;Vanjski
George;Filipovic;gfilipovic;"p""44H40T";OU=Vanjski korisnici,DC=vladimir,DC=putin;gfilipovic@vladimir.putin;915844827;Zaposlenici
Vladislava;Posavec;vposavec;t#24T32Z;OU=Vanjski korisnici,DC=vladimir,DC=putin;vposavec@vladimir.putin;916862674;Vanjski
Vesna;Filipovic;vfilipovic;v&65W37W;OU=Financije,DC=vladimir,DC=putin;vfilipovic@vladimir.putin;914604858;Zaposlenici
Dzuro;Jukic;djukic;"r""75X18G";OU=Financije,DC=vladimir,DC=putin;djukic@vladimir.putin;916525365;Vanjski
Vesna;Tomic;vtomic;j%29A22W;OU=Uprava,DC=vladimir,DC=putin;vtomic@vladimir.putin;914495151;Vanjski
Danica;Jukic;djukic;j&51L95K;OU=Uprava,DC=vladimir,DC=putin;djukic@vladimir.putin;917977357;Administrator
Branimir;Tomic;btomic;d!24H72L;OU=Uprava,DC=vladimir,DC=putin;btomic@vladimir.putin;913323502;Administrator
Vladislava;Cosci;vcosci;u&51T90R;OU=Vanjski korisnici,DC=vladimir,DC=putin;vcosci@vladimir.putin;917321868;Zaposlenici
Vesna;Loncar;vloncar;j$17M47R;OU=Uprava,DC=vladimir,DC=putin;vloncar@vladimir.putin;919676256;Zaposlenici
Milan;Horvat;mhorvat;r#83Y40D;OU=Uprava,DC=vladimir,DC=putin;mhorvat@vladimir.putin;916353691;Vanjski
Zvonimir;Nikolic;znikolic;u$94D14E;OU=Vanjski korisnici,DC=vladimir,DC=putin;znikolic@vladimir.putin;918064618;DistroGrupa
Zorja;Bosnjak;zbosnjak;t#76E73R;OU=Financije,DC=vladimir,DC=putin;zbosnjak@vladimir.putin;910425687;Administrator
